gavin@Nitro-AN515-58-df85a443:~$ python3  ml.py --enc_width 32 --hidden 48 --layers 1 --epochs 200
Params: 17,098 (enc_width=32, hidden=48, layers=1)
Ep192  train=78.62%  val=74.25%  best=74.45%  time=11.7s
Ep193  train=78.56%  val=74.14%  best=74.45%  time=14.1s
Ep194  train=78.63%  val=74.19%  best=74.45%  time=13.0s
Ep195  train=78.62%  val=74.21%  best=74.45%  time=15.5s
Ep196  train=78.67%  val=74.21%  best=74.45%  time=14.9s
Ep197  train=78.95%  val=74.20%  best=74.45%  time=14.1s
Ep198  train=78.56%  val=74.20%  best=74.45%  time=14.5s
Ep199  train=78.74%  val=74.20%  best=74.45%  time=14.1s
gavin@Nitro-AN515-58-df85a443:~$ 

gavin@Nitro-AN515-58-df85a443:~$ python3 bxx.py --solver rk4 --T 400 --h 1 --steps 1   --fractional --m 24 --width 32 --epochs 200 --groupnorm --approx_act 
Trainable parameters: 19,728
SOE λ range: [0.00250, 1.38629]  m=24
Ep000 train=25.40% val=25.45% σ̂=697.982 hσ=698.0  mem=    18/  1909 MB  time= 98.4s
Ep001 train=33.90% val=34.27% σ̂=633.641 hσ=633.6  mem=    18/  1909 MB  time= 99.3s
Ep002 train=35.79% val=36.27% σ̂=744.039 hσ=744.0  mem=    18/  1909 MB  time=109.0s
Ep003 train=40.26% val=41.22% σ̂=510.016 hσ=510.0  mem=    18/  1909 MB  time=110.3s
Ep004 train=39.98% val=39.03% σ̂=506.191 hσ=506.2  mem=    18/  1909 MB  time=105.8s
Ep005 train=47.22% val=47.14% σ̂=507.784 hσ=507.8  mem=    18/  1909 MB  time= 87.0s
Ep006 train=47.24% val=46.08% σ̂=876.816 hσ=876.8  mem=    18/  1909 MB  time= 82.5s
Ep007 train=47.80% val=47.63% σ̂=635.811 hσ=635.8  mem=    18/  1909 MB  time= 82.6s
Ep008 train=50.04% val=49.13% σ̂=563.101 hσ=563.1  mem=    18/  1909 MB  time= 82.2s
Ep009 train=50.28% val=49.84% σ̂=466.056 hσ=466.1  mem=    18/  1909 MB  time= 82.1s
Ep010 train=55.30% val=54.16% σ̂=662.571 hσ=662.6  mem=    18/  1909 MB  time= 82.1s
Ep011 train=54.51% val=53.42% σ̂=588.624 hσ=588.6  mem=    18/  1909 MB  time= 82.1s
Ep012 train=58.79% val=57.76% σ̂=610.058 hσ=610.1  mem=    18/  1909 MB  time= 82.1s
Ep013 train=56.48% val=56.02% σ̂=1226.143 hσ=1226.1  mem=    18/  1909 MB  time= 82.1s
Ep014 train=56.44% val=55.40% σ̂=1574.684 hσ=1574.7  mem=    18/  1909 MB  time= 82.1s
Ep015 train=61.37% val=60.52% σ̂=615.702 hσ=615.7  mem=    18/  1909 MB  time= 82.0s
Ep016 train=57.31% val=56.16% σ̂=610.135 hσ=610.1  mem=    18/  1909 MB  time= 82.3s
Ep017 train=62.06% val=61.07% σ̂=644.160 hσ=644.2  mem=    18/  1909 MB  time= 82.2s
Ep018 train=62.90% val=61.77% σ̂=672.787 hσ=672.8  mem=    18/  1909 MB  time= 81.9s
Ep019 train=62.38% val=61.22% σ̂=662.775 hσ=662.8  mem=    18/  1909 MB  time= 81.9s
Ep020 train=63.64% val=62.08% σ̂=922.088 hσ=922.1  mem=    18/  1909 MB  time= 82.0s
Ep021 train=64.91% val=63.36% σ̂=666.021 hσ=666.0  mem=    18/  1909 MB  time= 82.2s
Ep022 train=64.18% val=63.23% σ̂=637.103 hσ=637.1  mem=    18/  1909 MB  time= 82.1s
Ep023 train=66.09% val=64.99% σ̂=794.972 hσ=795.0  mem=    18/  1909 MB  time= 82.0s
Ep024 train=66.61% val=65.09% σ̂=813.335 hσ=813.3  mem=    18/  1909 MB  time= 81.9s
Ep025 train=64.83% val=63.36% σ̂=805.148 hσ=805.1  mem=    18/  1909 MB  time= 82.2s
Ep026 train=65.67% val=64.42% σ̂=749.945 hσ=749.9  mem=    18/  1909 MB  time= 83.5s
Ep027 train=67.23% val=65.61% σ̂=719.949 hσ=719.9  mem=    18/  1909 MB  time= 81.8s
Ep028 train=66.22% val=64.74% σ̂=853.227 hσ=853.2  mem=    18/  1909 MB  time= 82.7s
Ep029 train=66.30% val=64.65% σ̂=862.049 hσ=862.0  mem=    18/  1909 MB  time= 83.2s
Ep030 train=68.55% val=66.62% σ̂=743.367 hσ=743.4  mem=    18/  1909 MB  time= 82.8s
Ep031 train=69.05% val=66.91% σ̂=756.232 hσ=756.2  mem=    18/  1909 MB  time= 82.8s
Ep032 train=68.14% val=67.29% σ̂=769.444 hσ=769.4  mem=    18/  1909 MB  time= 85.5s
Ep033 train=68.48% val=66.66% σ̂=726.126 hσ=726.1  mem=    18/  1909 MB  time= 86.4s
Ep034 train=66.16% val=63.99% σ̂=825.141 hσ=825.1  mem=    18/  1909 MB  time= 85.4s
Ep035 train=65.83% val=64.28% σ̂=880.710 hσ=880.7  mem=    18/  1909 MB  time= 85.6s
Ep036 train=69.71% val=68.58% σ̂=1435.785 hσ=1435.8  mem=    18/  1909 MB  time= 85.8s
Ep037 train=68.37% val=67.00% σ̂=848.352 hσ=848.4  mem=    18/  1909 MB  time= 92.0s
Ep038 train=70.46% val=68.30% σ̂=839.665 hσ=839.7  mem=    18/  1909 MB  time=100.8s
Ep039 train=69.13% val=67.19% σ̂=842.423 hσ=842.4  mem=    18/  1909 MB  time=101.6s
Ep040 train=70.43% val=68.71% σ̂=865.771 hσ=865.8  mem=    18/  1909 MB  time= 98.8s
Ep041 train=70.91% val=69.55% σ̂=848.273 hσ=848.3  mem=    18/  1909 MB  time=100.2s
Ep042 train=71.85% val=70.85% σ̂=787.427 hσ=787.4  mem=    18/  1909 MB  time= 99.4s
Ep043 train=72.27% val=70.01% σ̂=862.954 hσ=863.0  mem=    18/  1909 MB  time=102.2s
Ep044 train=72.17% val=70.12% σ̂=811.890 hσ=811.9  mem=    18/  1909 MB  time=101.5s
Ep045 train=71.28% val=69.46% σ̂=916.024 hσ=916.0  mem=    18/  1909 MB  time=102.3s
Ep046 train=71.10% val=69.45% σ̂=859.318 hσ=859.3  mem=    18/  1909 MB  time=104.0s
Ep047 train=72.23% val=70.56% σ̂=835.219 hσ=835.2  mem=    18/  1909 MB  time= 99.4s
Ep048 train=72.64% val=71.06% σ̂=1023.009 hσ=1023.0  mem=    18/  1909 MB  time=103.1s
Ep049 train=73.27% val=70.45% σ̂=802.285 hσ=802.3  mem=    18/  1909 MB  time= 99.2s
Ep050 train=71.69% val=69.94% σ̂=891.474 hσ=891.5  mem=    18/  1909 MB  time=105.1s
Ep051 train=72.43% val=70.73% σ̂=846.716 hσ=846.7  mem=    18/  1909 MB  time=101.4s
Ep052 train=72.11% val=69.79% σ̂=764.216 hσ=764.2  mem=    18/  1909 MB  time=118.9s
Ep053 train=71.84% val=70.16% σ̂=757.505 hσ=757.5  mem=    18/  1909 MB  time= 97.6s
Ep054 train=71.95% val=70.48% σ̂=860.580 hσ=860.6  mem=    18/  1909 MB  time= 97.5s
Ep055 train=72.52% val=70.94% σ̂=838.008 hσ=838.0  mem=    18/  1909 MB  time= 98.4s
Ep056 train=73.66% val=71.79% σ̂=879.731 hσ=879.7  mem=    18/  1909 MB  time= 97.2s
Ep057 train=72.86% val=71.03% σ̂=831.966 hσ=832.0  mem=    18/  1909 MB  time=101.4s
Ep058 train=74.01% val=71.67% σ̂=782.287 hσ=782.3  mem=    18/  1909 MB  time=100.3s
Ep059 train=73.20% val=71.46% σ̂=890.020 hσ=890.0  mem=    18/  1909 MB  time= 98.2s
Ep060 train=74.04% val=72.19% σ̂=854.979 hσ=855.0  mem=    18/  1909 MB  time= 97.4s
Ep061 train=74.21% val=71.89% σ̂=881.544 hσ=881.5  mem=    18/  1909 MB  time= 95.7s
Ep062 train=73.88% val=72.09% σ̂=792.472 hσ=792.5  mem=    18/  1909 MB  time= 97.9s
Ep063 train=74.36% val=72.01% σ̂=865.555 hσ=865.6  mem=    18/  1909 MB  time=100.1s
Ep064 train=72.23% val=69.68% σ̂=818.049 hσ=818.0  mem=    18/  1909 MB  time=100.2s
Ep065 train=74.42% val=72.25% σ̂=846.493 hσ=846.5  mem=    18/  1909 MB  time= 98.9s
Ep066 train=74.64% val=72.79% σ̂=957.237 hσ=957.2  mem=    18/  1909 MB  time=101.3s
Ep067 train=73.92% val=71.28% σ̂=830.782 hσ=830.8  mem=    18/  1909 MB  time=100.2s
Ep068 train=74.35% val=71.82% σ̂=839.903 hσ=839.9  mem=    18/  1909 MB  time= 90.2s
Ep069 train=74.45% val=72.57% σ̂=808.465 hσ=808.5  mem=    18/  1909 MB  time= 82.2s
Ep070 train=74.27% val=71.28% σ̂=862.181 hσ=862.2  mem=    18/  1909 MB  time= 82.0s
Ep071 train=75.03% val=72.14% σ̂=758.135 hσ=758.1  mem=    18/  1909 MB  time= 82.0s
Ep072 train=74.96% val=72.67% σ̂=880.942 hσ=880.9  mem=    18/  1909 MB  time= 82.1s
Ep073 train=74.93% val=72.54% σ̂=875.265 hσ=875.3  mem=    18/  1909 MB  time= 82.2s
Ep074 train=75.70% val=73.39% σ̂=828.488 hσ=828.5  mem=    18/  1909 MB  time= 82.2s
Ep075 train=75.22% val=72.87% σ̂=875.773 hσ=875.8  mem=    18/  1909 MB  time= 82.0s
Ep076 train=75.81% val=73.38% σ̂=784.977 hσ=785.0  mem=    18/  1909 MB  time= 84.9s
Ep077 train=76.09% val=74.12% σ̂=862.284 hσ=862.3  mem=    18/  1909 MB  time= 83.5s
Ep078 train=76.01% val=73.42% σ̂=855.060 hσ=855.1  mem=    18/  1909 MB  time= 82.3s
Ep079 train=76.00% val=74.02% σ̂=850.010 hσ=850.0  mem=    18/  1909 MB  time= 82.4s
Ep080 train=76.26% val=73.03% σ̂=895.862 hσ=895.9  mem=    18/  1909 MB  time= 82.5s
Ep081 train=76.43% val=73.94% σ̂=1012.752 hσ=1012.8  mem=    18/  1909 MB  time= 82.4s
Ep082 train=75.69% val=73.48% σ̂=867.750 hσ=867.8  mem=    18/  1909 MB  time= 82.5s
Ep083 train=76.39% val=73.66% σ̂=867.802 hσ=867.8  mem=    18/  1909 MB  time= 83.0s
Ep084 train=75.64% val=73.50% σ̂=866.476 hσ=866.5  mem=    18/  1909 MB  time= 84.0s
Ep085 train=75.99% val=74.03% σ̂=921.967 hσ=922.0  mem=    18/  1909 MB  time= 84.8s
Ep086 train=76.16% val=73.28% σ̂=918.534 hσ=918.5  mem=    18/  1909 MB  time= 85.8s
